id,code,description
peb_catag_1,NP,NOTA DE PEDIDO
peb_catag_2,01,FACTURA
peb_catag_3,03,BOLETA DE VENTA
peb_catag_4,07,NOTA DE CREDITO
peb_catag_5,08,NOTA DE DEBITO
peb_catag_6,09,GUIA DE REMISIÓN REMITENTE
peb_catag_7,12,TICKET DE MAQUINA REGISTRADORA
peb_catag_8,13,"DOCUMENTO EMITIDO POR BANCOS, INSTITUCIONES FINANCIERAS, CREDITICIAS Y DE SEGUROS QUE SE ENCUENTREN BAJO EL CONTROL DE LA SUPERINTENDENCIA DE BANCA Y SEGUROS RECIBO SERVICIOS PUBLICOS"
peb_catag_9,14,RECIBO SERVICIOS PUBLICOS
peb_catag_10,16,BOLETO DE VIAJE EMITIDO POR LAS EMPRESAS DE TRANSPORTE PÚBLICO INTERPROVINCIAL DE PASAJEROS
peb_catag_11,18,DOCUMENTOS EMITIDOS POR LAS AFP
peb_catag_12,20,COMPROBANTE DE RETENCION
peb_catag_13,31,GUIA DE REMISIÓN TRANSPORTISTA
peb_catag_14,40,COMPROBANTE DE PERCEPCION
peb_catag_15,41,COMPROBANTE DE PERCEPCION - VENTA INTERNA(FISICO-FORMATO IMPRESO)
peb_catag_16,56,COMPROBANTE DE PAGO SEAE
peb_catag_17,71,GUIA DE REMISION REMITENTE COMPLEMENTARIA
peb_catag_18,72,GUIA DE REMISION TRANSPORTISTA COMPLEMENTARIA
